Country Name,Country Code,Indicator Name,Indicator Code,Most Recent GINI value,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Tanzania,TZA,GINI index (World Bank estimate),SI.POV.GINI,37.78,,,,,,,,,,,,,,,,,,,,37.78,,
Uganda,UGA,GINI index (World Bank estimate),SI.POV.GINI,42.37,,,,,,,,,,,,,,,,,,,,,42.37,
Ukraine,UKR,GINI index (World Bank estimate),SI.POV.GINI,24.55,,,,,,,,,,,,,,,,,,,,,,24.55
Upper middle income,UMC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,URY,GINI index (World Bank estimate),SI.POV.GINI,41.87,,,,,,,,,,,,,,,,,,,,,,41.87
United States,USA,GINI index (World Bank estimate),SI.POV.GINI,41.06,,,,,,,,,,,,,,,,,,,,,,41.06
Uzbekistan,UZB,GINI index (World Bank estimate),SI.POV.GINI,35.27,,,,,,,,,,,,35.27,,,,,,,,,,
St. Vincent and the Grenadines,VCT,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",VEN,GINI index (World Bank estimate),SI.POV.GINI,46.94,,,,,,,,,,,,,,,46.94,,,,,,,
Virgin Islands (U.S.),VIR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,GINI index (World Bank estimate),SI.POV.GINI,38.7,,,,,,,,,,,,,,,,,,,,,38.7,
Vanuatu,VUT,GINI index (World Bank estimate),SI.POV.GINI,37.18,,,,,,,,,,,,,,,,,,,37.18,,,
West Bank and Gaza,PSE,GINI index (World Bank estimate),SI.POV.GINI,34.46,,,,,,,,,,,,,,,,,,34.46,,,,
World,WLD,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Samoa,WSM,GINI index (World Bank estimate),SI.POV.GINI,42.69,,,,,,,,,,,,,,,,,42.69,,,,,
"Yemen, Rep.",YEM,GINI index (World Bank estimate),SI.POV.GINI,35.89,,,,,,,,,,,,,,35.89,,,,,,,,
South Africa,ZAF,GINI index (World Bank estimate),SI.POV.GINI,63.38,,,,,,,,,,,,,,,,,,,,63.38,,
"Congo, Dem. Rep.",COD,GINI index (World Bank estimate),SI.POV.GINI,42.1,,,,,,,,,,,,,,,,,,,,,42.1,
Zambia,ZMB,GINI index (World Bank estimate),SI.POV.GINI,55.62,,,,,,,,,,,,,,,,,,,55.62,,,
Zimbabwe,ZWE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
